City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
1,Iranshahr,23,IR,1593858449,5,27.2,60.68,117.59,6.64
2,Bandarbeyla,75,SO,1593858451,39,9.49,50.81,91.94,28.74
3,Vardø,40,NO,1593857979,71,70.37,31.11,55.4,8.05
4,Longyearbyen,75,SJ,1593858454,70,78.22,15.64,46.4,9.17
5,Kruisfontein,96,ZA,1593857926,34,-34.0,24.73,65.23,10.6
6,Clyde River,90,CA,1593858458,87,70.47,-68.59,44.6,7.29
7,Bluff,100,NZ,1593858459,96,-46.6,168.33,47.41,10.22
8,Cape Town,20,ZA,1593858386,67,-33.93,18.42,64.0,14.99
9,Palmer,90,US,1593858462,100,42.16,-72.33,62.6,3.58
10,Rikitea,5,PF,1593858464,71,-23.12,-134.97,71.71,17.83
11,Bolton,100,GB,1593858465,96,53.58,-2.43,63.0,7.0
12,Barrow,90,US,1593858468,91,71.29,-156.79,35.6,11.41
13,Pevek,100,RU,1593858001,61,69.7,170.31,44.73,1.34
14,Leningradskiy,98,RU,1593858471,65,69.38,178.42,45.16,5.64
15,Cayenne,41,GF,1593858472,100,4.93,-52.33,75.2,4.7
16,Busselton,77,AU,1593858474,56,-33.65,115.33,60.01,12.82
17,Tablac,100,PH,1593858478,75,17.22,120.48,83.48,2.59
18,Along,47,IN,1593858480,70,28.17,94.77,86.7,2.46
19,Lagan,0,RU,1593858483,24,45.39,47.37,89.08,17.83
20,Jamestown,1,US,1593858348,93,42.1,-79.24,62.6,2.71
21,Ushuaia,75,AR,1593858285,86,-54.8,-68.3,30.2,5.17
22,Severo-Kuril'sk,86,RU,1593858488,83,50.68,156.12,49.28,4.14
23,Punta Arenas,100,CL,1593858490,93,-53.15,-70.92,35.6,6.93
24,Nanortalik,22,GL,1593858494,88,60.14,-45.24,40.87,8.21
25,Bolitoc,100,PH,1593858495,72,15.74,119.88,84.4,2.86
26,Avarua,100,CK,1593858381,88,-21.21,-159.78,73.4,9.17
27,Isangel,75,VU,1593858499,78,-19.55,169.27,73.4,6.93
28,Bredasdorp,100,ZA,1593858500,56,-34.53,20.04,68.0,16.11
29,Moussoro,70,TD,1593858502,40,13.64,16.49,95.09,12.73
30,Hilo,90,US,1593858381,78,19.73,-155.09,75.2,3.36
31,Mehrān,0,IR,1593858507,6,33.12,46.16,116.49,21.05
32,Ryōtsu-minato,90,JP,1593858508,94,38.08,138.43,69.8,1.12
33,Meadow Lake,40,US,1593858265,53,34.8,-106.54,73.99,13.87
34,Mongu,0,ZM,1593858512,27,-15.25,23.13,77.02,10.94
35,Port Alfred,99,ZA,1593858513,39,-33.59,26.89,71.01,4.0
36,Kysyl-Syr,13,RU,1593858515,39,63.9,122.76,66.52,11.25
37,Havre-St-Pierre,90,CA,1593858516,93,50.23,-63.6,53.6,5.82
38,Pecos,1,US,1593858518,47,31.42,-103.49,80.6,6.93
39,Adrar,0,MR,1593858520,19,20.5,-10.07,98.65,3.58
40,Atuona,1,PF,1593858381,75,-9.8,-139.03,79.5,22.26
41,Norman Wells,75,CA,1593858523,81,65.28,-126.83,51.8,8.05
42,Albany,7,US,1593858524,91,42.6,-73.97,68.0,1.59
43,Qaanaaq,0,GL,1593858526,68,77.48,-69.36,41.11,0.78
44,Kapaa,75,US,1593858528,94,22.08,-159.32,75.2,8.05
45,Vaini,20,TO,1593858529,73,-21.2,-175.2,69.8,8.05
46,Novorzhev,0,RU,1593858531,49,57.03,29.33,73.74,8.84
47,Hermanus,96,ZA,1593858532,70,-34.42,19.23,63.0,8.99
48,Hasaki,75,JP,1593858535,83,35.73,140.83,80.6,13.87
49,Āmlāgora,95,IN,1593858387,48,22.83,87.33,96.01,9.93
50,Iquitos,98,PE,1593858541,98,-3.75,-73.25,70.41,0.78
